PRECISION,RECALL,F1,DISCRIMINATION THRESHOLDS
0.4053608499206252,0.9996988405360638,0.5768278378730614,0.03441666666666667
0.4055094063034449,0.9996988405360638,0.5769782296962586,0.0345
0.40553417628733734,0.9996988405360638,0.5770033026247174,0.03452380952380952
0.40590608950843726,0.9996988405360638,0.5773796582162891,0.03458333333333333
0.40622896653001284,0.9996988405360638,0.5777062304211625,0.034583333333333334
0.40625382450128505,0.9996988405360638,0.5777313666623156,0.03464285714285714
0.40647768321802485,0.9996988405360638,0.5779576913032124,0.034666666666666665
0.4065025716385011,0.9996988405360638,0.5779828494319419,0.03475
0.40652746310697446,0.9996988405360638,0.5780080097510012,0.034761904761904765
0.4065523576240049,0.9996988405360638,0.5780331722606765,0.03482142857142857
0.4066270594720402,0.9996988405360638,0.5781086729362591,0.03483333333333333
0.40675162357554223,0.9996988405360638,0.5782345512345949,0.034833333333333334
